"","taxonomy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"37","Viruses;Retroviridae;Orthoretrovirinae","3","0","0","0","0","0","14","0","0","0","5","0","15","0","0","12","4","0","0","0","0","0","0","0"
"38","Viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus","3","0","0","0","0","0","14","0","0","0","0","0","15","0","0","12","0","0","0","0","0","0","0","0"
"39","Viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia virus","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 13","2","0","0","0","0","0","0","2","0","0","0","0","31","0","0","0","0","0","0","0","4","67","0","0"
"41","Viruses;Baculoviridae;NA;Betabaculovirus","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Viruses;Baculoviridae;NA;Betabaculovirus;Spodoptera frugiperda granulovirus","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Viruses;Polyomaviridae;NA;Deltapolyomavirus;Human polyomavirus 6","0","0","0","94","980","0","0","0","0","22","0","0","0","0","0","3631","0","0","0","0","16","0","0","46"
"44","Viruses;Genomoviridae","0","0","0","17","2","0","91","2","0","0","0","307","0","0","0","0","4","0","0","0","0","0","0","65"
"45","Viruses;Genomoviridae;NA","0","0","0","17","2","0","91","2","0","0","0","307","0","0","0","0","4","0","0","0","0","0","0","65"
"46","Viruses;Genomoviridae;NA;Gemycircularvirus","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"47","Viruses;Genomoviridae;NA;Gemycircularvirus;Canine feces-associated gemycircularvirus","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Viruses;Polyomaviridae;NA;NA;Cat associated lyon-IARC polyomavirus","0","0","0","4","0","0","0","19","0","0","0","0","0","0","0","4","0","0","0","0","0","9","0","0"
"49","Viruses;NA","0","6","0","2","4","0","52","193","2","2","0","89","0","0","0","110","295","0","0","0","4","0","2","13"
"50","Viruses;NA;NA","0","6","0","2","4","0","52","193","2","2","0","89","0","0","0","110","295","0","0","0","4","0","2","13"
"51","Viruses;NA;NA;NA","0","6","0","2","4","0","52","193","2","2","0","89","0","0","0","110","295","0","0","0","4","0","2","13"
"52","Viruses;NA;NA;NA;uncultured Caudovirales phage","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"53","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 24","0","0","0","0","0","0","363","0","0","201","0","0","0","0","0","0","0","0","0","0","10","0","0","0"
"54","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 9","0","0","0","0","0","0","123","197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"55","Viruses;Siphoviridae","0","0","0","0","3","22","746","4","0","0","0","4","0","2","0","35","0","0","0","0","0","0","6","2"
"56","Viruses;Siphoviridae;NA","0","0","0","0","3","22","746","4","0","0","0","4","0","2","0","35","0","0","0","0","0","0","6","2"
"57","Viruses;Siphoviridae;NA;Pahexavirus","0","0","0","0","0","0","746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium phage PAC1","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Viruses;Genomoviridae;NA;NA","0","0","0","0","0","0","91","2","0","0","0","305","0","0","0","0","2","0","0","0","0","0","0","65"
"60","Viruses;Genomoviridae;NA;NA;Thrips-associated genomovirus 2","0","0","0","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"61","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 15","0","0","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Viruses;Siphoviridae;NA;Pahexavirus;Propionibacterium virus PHL009M11","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Viruses;NA;NA;NA;Circular genetic element sp.","0","0","0","0","0","0","44","2","0","2","0","85","0","0","0","0","14","0","0","0","4","0","0","13"
"64","Viruses;Geminiviridae","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Viruses;Geminiviridae;NA","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Viruses;Geminiviridae;NA;Begomovirus","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Viruses;Geminiviridae;NA;Begomovirus;Sida golden mottle virus","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
