"","taxonomy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"159","Viruses;Circoviridae;NA;Cyclovirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","816","0","0"
"160","Viruses;Circoviridae;NA;Cyclovirus;Human associated cyclovirus 8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","816","0","0"
"161","Viruses;Siphoviridae;NA;NA;Streptococcus phage Javan348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0"
"162","Viruses;Siphoviridae;NA;NA;Streptococcus phage Javan340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0"
"163","Viruses;Siphoviridae;NA;NA;Streptococcus phage Javan366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0"
"164","Viruses;Inoviridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
"165","Viruses;Inoviridae;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
"166","Viruses;Inoviridae;NA;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
"167","Viruses;Inoviridae;NA;NA;Inoviridae sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
"168","Viruses;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"169","Viruses;Retroviridae;Orthoretrovirinae;Lentivirus","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0"
"170","Viruses;Retroviridae;Orthoretrovirinae;Lentivirus;Human immunodeficiency virus 1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0"
"171","Viruses;Polyomaviridae;NA;Deltapolyomavirus;Human polyomavirus 7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"172","Viruses;Genomoviridae;NA;Gemycircularvirus;Giant panda associated gemycircularvirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"173","Viruses;Genomoviridae;NA;NA;Lepus americanus faeces associated genomovirus SHP216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"174","Viruses;Anelloviridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1438","0","0","0"
"175","Viruses;Anelloviridae;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1438","0","0","0"
"176","Viruses;Anelloviridae;NA;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1438","0","0","0"
"177","Viruses;Anelloviridae;NA;NA;Anelloviridae sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1398","0","0","0"
"178","Viruses;Anelloviridae;NA;NA;Torque teno virus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0"
"179","Viruses;Herpesviridae;Betaherpesvirinae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"180","Viruses;Herpesviridae;Betaherpesvirinae;Cytomegalovirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"181","Viruses;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Human betaherpesvirus 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"182","Viruses;Polyomaviridae;NA;Betapolyomavirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","127","0","0"
"183","Viruses;Polyomaviridae;NA;Betapolyomavirus;Human polyomavirus 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0"
"184","Viruses;Polyomaviridae;NA;Betapolyomavirus;Human polyomavirus 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0"
"185","Viruses;Papillomaviridae;Firstpapillomavirinae;Chipapillomavirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"186","Viruses;Papillomaviridae;Firstpapillomavirinae;Chipapillomavirus;Chipapillomavirus 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"187","Viruses;Papillomaviridae;Firstpapillomavirinae;Betapapillomavirus;Human betapapillomavirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"188","Viruses;Podoviridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"189","Viruses;Podoviridae;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"190","Viruses;Podoviridae;NA;Hollowayvirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"191","Viruses;Podoviridae;NA;Hollowayvirus;Pseudomonas virus H66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"192","Viruses;Siphoviridae;NA;NA;Streptococcus virus MS1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"193","Viruses;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 10","0","0","0","0","0","0","0","0","0","0","368","0","0","0","9","0","0","0","0","0","0","0","0","0"
"194","Viruses;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 1","0","0","2","0","0","0","0","0","0","0","368","0","0","0","12","0","0","0","0","0","0","0","0","0"
"195","Viruses;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 6","0","0","0","0","0","0","0","0","0","0","148","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Viruses;Polyomaviridae;NA;Betapolyomavirus;Human polyomavirus 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"197","Viruses;NA;NA;NA;Bacteriophage sp.","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Viruses;Flaviviridae","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Viruses;Flaviviridae;NA","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Viruses;Flaviviridae;NA;Flavivirus","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Viruses;Flaviviridae;NA;Flavivirus;Zika virus","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Viruses;Papillomaviridae;Firstpapillomavirinae;Betapapillomavirus;Betapapillomavirus 5","0","19","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Viruses;Myoviridae;Tevenvirinae;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"204","Viruses;Myoviridae;Tevenvirinae;NA;Acinetobacter virus 133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"205","Viruses;Siphoviridae;NA;Phietavirus","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Viruses;Siphoviridae;NA;Phietavirus;Staphylococcus virus IPLA7","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Viruses;Genomoviridae;NA;Gemykibivirus","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Viruses;Genomoviridae;NA;Gemykibivirus;Human associated gemykibivirus 1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Viruses;Siphoviridae;NA;NA;Corynebacterium phage IME1320_01","0","0","0","0","0","22","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"210","Viruses;Herelleviridae","0","0","0","0","2","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"211","Viruses;Herelleviridae;Twortvirinae","0","0","0","0","2","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"212","Viruses;Herelleviridae;Twortvirinae;Sepunavirus","0","0","0","0","2","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"213","Viruses;Herelleviridae;Twortvirinae;Sepunavirus;Staphylococcus phage Quidividi","0","0","0","0","2","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"214","Viruses;Siphoviridae;NA;NA;Streptococcus phage SW27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
